id,latitude,longitude,soortnaam,soortnaamtop,jaarvanaanleg,typeobject,typeeigenaarplus,typebeheerderplus,boomhoogteklasseactueel
919999,4.86194,52.32503,Prunus padus,Kers (Prunus),1983,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920000,4.88005,52.35522,Crataegus media 'Paul's Scarlet',Meidoorn (Crataegus),2007,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920001,4.88023,52.35526,Crataegus media 'Paul's Scarlet',Meidoorn (Crataegus),2007,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920002,4.88157,52.35441,Ulmus minor 'Sarniensis',Iep (Ulmus),1999,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,q. Niet van toepassing
920003,4.88359,52.35484,Ulmus minor 'Sarniensis',Iep (Ulmus),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920004,4.88835,52.33922,Acer saccharinum 'Pyramidale',Esdoorn (Acer),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920005,4.88818,52.33927,Acer saccharinum 'Pyramidale',Esdoorn (Acer),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920006,4.88803,52.33931,Acer saccharinum 'Pyramidale',Esdoorn (Acer),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920007,4.88787,52.33935,Acer saccharinum 'Pyramidale',Esdoorn (Acer),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920008,4.88352,52.34053,Platanus hispanica,Plataan (Platanus),1993,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920009,4.90417,52.34475,Acer pseudoplatanus 'Negenia',Esdoorn (Acer),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920010,4.90398,52.34472,Acer pseudoplatanus 'Rotterdam',Esdoorn (Acer),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920011,4.90378,52.34467,Acer pseudoplatanus 'Negenia',Esdoorn (Acer),2002,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920012,4.91292,52.34255,Tilia europaea 'Zwarte Linde',Linde (Tilia),1989,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920013,4.91347,52.34297,Ulmus glabra,Iep (Ulmus),2001,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920014,4.91123,52.34488,Carpinus betulus 'Fastigiata',Haagbeuk (Carpinus),1965,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,q. Niet van toepassing
920015,4.91112,52.34399,Tilia tomentosa 'Brabant',Linde (Tilia),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920016,4.88867,52.34653,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920017,4.88828,52.34775,Sorbus intermedia,Sorbus,1982,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920018,4.87543,52.32736,Ulmus hollandica,Iep (Ulmus),1991,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920019,4.90315,52.34668,Tilia europaea 'Pallida',Linde (Tilia),1995,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920020,4.90704,52.34572,Tilia platyphyllos,Linde (Tilia),1985,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920021,4.89913,52.34486,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),2007,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920022,4.90838,52.34438,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920023,4.90821,52.3445,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920024,4.90833,52.34453,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
